"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U4";"Molex_48";1;"molex_48pin";;;
2;"R71,R70,R63,R62,R58,R38,R17,R7";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";8;"10R";;;
3;"R64,R23,R41,R18,R8,R77,R50,R55,R49,R27,R24,R60,R33,R37,R61,R6,R4";"R0603";17;"470R";;;
4;"JP15,JP16,JP18,JP7,JP6,JP3,JP2,JP10,JP9,JP5,JP8";"SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm";11;"SolderJumper_3_Bridged12";;;
5;"D24,D19,D22,D15,D1,D7,D9,D10,D12,D17,D16,D21,D5,D11,D3,D2";"SOT23";16;"BAT54S";;;
6;"Q11,Q15,Q21,Q20,Q19,Q10,Q16,Q14,Q13,Q18,Q17";"SOT223";11;"BSP78";;;
7;"C11,C4,C28,C8,C24,C17,C27,C14,C16,C20,C3,C23";"C0603";12;"220nf";;;
8;"U10,U9,U8,U7";"SO-8_3.9x4.9mm_P1.27mm";4;"MIC4427";;;
9;"J3";"Proto_area";1;"ProtoArea";;;
10;"U2";"TO-220-3_Horizontal_TabUp";1;"LM78M05_TO220";;;
11;"D39,D45,D44,D43,D40,D36,D35,D33";"D_SOD-323";8;"1N4148WS";;;
12;"R54,R53,R52,R51,R48,R43,R40,R39,R78,R84,R76,R83,R85,R56,R34,R67";"R0603";16;"100R";;;
13;"D48,D47,D46,D42,D41,D38,D37,D34";"D_SOT-23_ANK";8;"BZX84C39";;;
14;"R81,R90,R5,R92,R91,R80,R79,R16,R87,R59,R82,R89,R86,R88,R36,R11,R13,R14,R19,R66";"R0603";20;"10k";;;
15;"Q12,Q1,Q7,Q6";"SOT-23";4;"AO3400";;;
16;"D29,D28,D27,D26,D18,D13";"LED-0603";6;"YEL";;;
17;"C18,C12";"CP_Elec_6.3x7.7";2;"470uF 6.3V";;;
18;"U$1";"WIRELESS-BLUETOOTH-HC-05";1;"WIRELESS-BLUETOOTH-HC-05";;;
19;"C30,C32,C31,C29,C1,C2,C26,C9,C21,C25,C10,C13,C22,C19";"C0603";14;"100nf";;;
20;"R3,R68,R69,R12,R15,R65,R32,R35,R21";"R0603";9;"1k";;;
21;"R30";"R0603";1;"1k8";;;
22;"R31,R22,R42,R57,R1";"R0603";5;"2k49";;;
23;"R20";"R0603";1;"0R0";;;
24;"D8";"D_MiniMELF_Handsoldering";1;"Zener 5.1V";;;
25;"D32,D31,D30,D20,D14,D4";"D_SMA";6;"1N4007";;;
26;"U6";"SOIC-16_4.55x10.3mm_P1.27mm";1;"MAX3232";;;
27;"U5";"SO-8_5.3x6.2mm_P1.27mm";1;"TJA1050";;;
28;"U3";"SOT-23";1;"TL431DBZ";;;
29;"R74";"R0603";1;"120R";;;
30;"JP13";"SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm";1;"Jumper_NC_Small";;;
31;"J2";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Odd_Even";;;
32;"F1,F2";"R_1812_4532Metric_Pad1.30x3.40mm_HandSolder";2;"PPTC 16V2A";;;
33;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
34;"JP12,JP11";"2X24";2;"PINHD-2X24";;;
35;"C7,C5";"C0603";2;"1nf";;;
36;"D6";"D_MiniMELF_Handsoldering";1;"Zener 3.6V";;;
37;"U1";"21-0055H_16";1;"MAX9926UAEE+";;;
38;"A1";"Pololu_Breakout-16_15.2x20.3mm";1;"Pololu_Breakout_DRV8825";;;
39;"R2";"RV_Disc_D12mm_W3.9mm_P7.5mm";1;"VARISTOR-18V";;;
40;"R75";"R0603";1;"220R";;;
41;"JP14";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_NO_Small";;;
42;"R45";"R0603";1;"5k1";;;
43;"R44";"R0603";1;"33k";;;
44;"R25,R9,R28,R46";"R0603";4;"4k7";;;
45;"R26,R10,R29,R47";"R0603";4;"9k1";;;
46;"JP4,JP1";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";2;"Jumper_NO_Small";;;
47;"C15,C6";"C1206";2;"10uf";;;
