Comment;Designator;Footprint;LCSC Part #（optional）
;R71,R70,R63,R62,R58,R38,R17,R7;R0603;C22859
;R64,R23,R41,R18,R8,R77,R50,R55,R49,R27,R24,R60,R33,R37,R61,R6,R4;R0603;C23179
;D24,D19,D22,D15,D1,D7,D9,D10,D12,D17,D16,D21,D5,D11,D3,D2;SOT23;C19726
;C11,C4,C28,C8,C24,C17,C27,C14,C16,C20,C3,C23;C0603;C21120
;R54,R53,R52,R51,R48,R43,R40,R39,R78,R84,R76,R83,R85,R56,R34,R67;R0603;C22775
;R81,R90,R5,R92,R91,R80,R79,R16,R87,R59,R82,R89,R86,R88,R36,R11,R13,R14,R19,R66;R0603;C25803
;Q12,Q1,Q7,Q6;SOT-23;C344010
;D29,D28,D27,D26,D18,D13;LED-0603;C72038
;C30,C32,C31,C29,C1,C2,C26,C9,C21,C25,C10,C13,C22,C19;C0603;C14663
;R3,R68,R69,R12,R15,R65,R32,R35,R21;R0603;C21190
;R30;R0603;C21190
;R31,R22,R42,R57,R1;R0603;C126158
;R20;R0603;C21189
;D32,D31,D30,D20,D14,D4;D_SMA;C110856
;R74;R0603;C22787
;C7,C5;C0603;C1588
;R75;R0603;C22962
;R45;R0603;C23186
;R44;R0603;C4216
;R25,R9,R28,R46;R0603;C23162
;R26,R10,R29,R47;R0603;C23260
;C15,C6;C1206;C13585
