"Comment","Designator","Footprint","LCSC Part #"
"1nf","C5,C7","C0603","C1588"
"10uf","C6,C15","C1206","C13585"
"470uF 6.3V","C12,C18","CP_Elec_6.3x7.7","C250105"
"220nf","C17,C28,C8,C27,C23,C20,C16,C4,C24,C11,C14,C3","C0603","C21120"
"100nf","C31,C30,C32,C29,C26,C25,C21,C19,C13,C2,C22,C9,C10,C1","C0603","C14663"
"BAT54S","D12,D1,D5,D11,D19,D24,D22,D21,D16,D15,D10,D2,D17,D7,D9,D3","SOT23","C19726"
"YEL","D18,D28,D27,D26,D29,D13","LED-0603","C72038"
"1N4007","D31,D20,D4,D30,D32,D14","D_SMA","C110856"
"PPTC 16V2A","F1,F2","R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","C70122"
"AO3400","Q6,Q12,Q7,Q1","SOT-23","C344010"
"10R","R7,R17,R38,R58,R62,R63,R70,R71","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C22859"
"1k","R12,R15,R21,R32,R35,R3,R69,R65,R68","R0603","C21190"
"0R0","R20","R0603","C21189"
"1k8","R30","R0603","C21190"
"33k","R44","R0603","C4216"
"5k1","R45","R0603","C23186"
"4k7","R46,R25,R28,R9","R0603","C23162"
"9k1","R47,R26,R29,R10","R0603","C23260"
"470R","R55,R37,R61,R77,R8,R18,R64,R33,R60,R49,R41,R27,R6,R50,R23,R24,R4","R0603","C23179"
"100R","R56,R85,R76,R78,R52,R84,R83,R51,R39,R53,R40,R54,R48,R43,R67,R34","R0603","C22775"
"2k49","R57,R31,R42,R22,R1","R0603","C126158"
"10k","R59,R11,R13,R14,R19,R88,R5,R16,R87,R86,R89,R90,R79,R91,R80,R92,R82,R81,R66,R36","R0603","C25803"
"120R","R74","R0603","C22787"
"220R","R75","R0603","C22962"
"TJA1050","U5","SO-8_5.3x6.2mm_P1.27mm","C6952"
"MIC4427","U7,U8,U9,U10","SO-8_3.9x4.9mm_P1.27mm","C49058"
